nside,source,level,scenario,method,n_gal,n_rand,A_add,A_mult,A_tot,dA_add,dA_mult,dA_tot,A_over_dA,bias_contaminated,bias_recovered,improvement
64,uchuu,medium,multiplicative,ElasticNet,330748,2256239,0.0,0.09611739213233264,0.09611739213233264,0.0,0.09611739213233264,0.09611739213233264,1.0,0.066782377667743,0.06678237766775796,0.999999999999776
64,uchuu,medium,multiplicative,MCMC-add,330748,2256239,0.0,0.09611739213233264,0.09611739213233264,0.040520761791141856,0.09611739213233264,0.10430956430958314,0.9214628856761712,0.066782377667743,0.07545914596083014,0.8850136960522832
64,uchuu,medium,multiplicative,MCMC-comb,330748,2256239,0.0,0.09611739213233264,0.09611739213233264,0.033890627949067775,0.04817042740070685,0.05889791794918479,1.6319319167658797,0.066782377667743,0.05808878227245889,1.1496604861590622
64,uchuu,medium,combined,OLS,330748,2256239,0.08951901506551067,0.09611739213233264,0.13134765749193902,0.149694654259453,0.09611739213233264,0.17789615674369633,0.73833892702459,0.07274144445710858,0.13048477340543557,0.5574707497179775
64,uchuu,medium,combined,ISD-1,330748,2256239,0.08951901506551067,0.09611739213233264,0.13134765749193902,0.15503257713616897,0.09611739213233264,0.1824106714087824,0.7200656435148406,0.07274144445710858,0.1342053257861186,0.5420160789523043
64,uchuu,medium,combined,ElasticNet,330748,2256239,0.08951901506551067,0.09611739213233264,0.13134765749193902,0.06599474751913188,0.09611739213233264,0.11659270890769527,1.1265512116707488,0.07274144445710858,0.1322558033948,0.5500056904116815
64,uchuu,medium,combined,MCMC-add,330748,2256239,0.08951901506551067,0.09611739213233264,0.13134765749193902,0.14921828146709737,0.09611739213233264,0.17749548894074602,0.7400056095836177,0.07274144445710858,0.14721537161297366,0.49411582268966053
64,uchuu,medium,combined,MCMC-comb,330748,2256239,0.08951901506551067,0.09611739213233264,0.13134765749193902,0.1428421388772454,0.04322413146673469,0.14923874222225214,0.8801176928731481,0.07274144445710858,0.16240798832854872,0.4478932668629194
64,uchuu,high,additive,OLS,330748,2256239,0.17903803013102135,0.0,0.17903803013102135,0.2486149180985054,0.0,0.2486149180985054,0.7201419428100589,0.10098487066531768,0.07241699613096363,1.3944912943183951
64,uchuu,high,additive,ISD-1,330748,2256239,0.17903803013102135,0.0,0.17903803013102135,0.2657539140396011,0.0,0.2657539140396011,0.6736985634926234,0.10098487066531768,0.06812645992017455,1.4823149593218867
64,uchuu,high,additive,ElasticNet,330748,2256239,0.17903803013102135,0.0,0.17903803013102135,0.2464998065872609,0.0,0.2464998065872609,0.7263211789484383,0.10098487066531768,0.07127261052307261,1.4168818838567239
